,time_step,sampling_period,loss_factor,time_factor,signal_factor,th
0,25,5,95.0,99.0,90.0,0.037500000000000006
1,25,5,95.0,99.0,91.0,0.037500000000000006
2,25,5,95.0,99.0,92.0,0.05
3,25,5,95.0,99.0,93.0,0.075
4,25,5,95.0,99.0,94.0,0.08750000000000001
5,25,5,95.0,99.0,95.0,0.1125
6,25,5,95.0,99.0,96.0,0.1375
7,25,5,95.0,99.0,97.0,0.1625
8,25,5,95.0,99.0,98.0,0.1875
9,25,5,95.0,99.0,99.0,0.25
10,25,5,95.0,99.0,99.5,0.3125
11,25,5,95.0,99.0,99.99,0.4625
