,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,100,1,95.0,99,0,0.7667000000000007
1,100,1,95.0,99,1,0.7417000000000007
2,100,1,95.0,99,2,0.6675
3,100,1,95.0,99,3,0.6075
4,100,1,95.0,99,4,0.5725
5,100,1,95.0,99,5,0.695
6,100,1,95.0,99,6,0.6034000000000015
7,100,1,95.0,99,7,0.6825
8,100,1,95.0,99,8,0.6309000000000015
9,100,1,95.0,99,9,0.4575
10,100,1,95.0,99,10,0.6825
11,100,1,95.0,99,11,0.6317000000000007
12,100,1,95.0,99,12,0.58
13,100,1,95.0,99,13,0.265
14,100,1,95.0,99,14,0.30000000000000004
15,100,1,95.0,99,15,0.2
16,100,1,95.0,99,16,0.125
17,100,1,95.0,99,17,0.12
18,100,1,95.0,99,18,0.11
19,100,1,95.0,99,19,0.1225
