,time_step,sampling_period,loss_factor,time_factor,signal_factor,th
0,100,1,95.0,99.0,90.0,0.037500000000000006
1,100,1,95.0,99.0,91.0,0.037500000000000006
2,100,1,95.0,99.0,92.0,0.05
3,100,1,95.0,99.0,93.0,0.075
4,100,1,95.0,99.0,94.0,0.08750000000000001
5,100,1,95.0,99.0,95.0,0.1
6,100,1,95.0,99.0,96.0,0.125
7,100,1,95.0,99.0,97.0,0.15
8,100,1,95.0,99.0,98.0,0.1875
9,100,1,95.0,99.0,99.0,0.225
10,100,1,95.0,99.0,99.5,0.3125
11,100,1,95.0,99.0,99.99,0.5189599999999928
