,time_step,sampling_period,loss_factor,Signal,th
0,75,5,95,0,0.030844565928804198
1,75,5,95,1,0.0328228765624617
2,75,5,95,2,0.033599713098493064
3,75,5,95,3,0.04254029600896555
4,75,5,95,4,0.031823828535742865
5,75,5,95,5,0.05493279576058875
6,75,5,95,6,0.04200285938634128
7,75,5,95,7,0.055146564979311946
8,75,5,95,8,0.0443606226818527
9,75,5,95,9,0.04900923004668008
10,75,5,95,10,0.043000645973664785
11,75,5,95,11,0.052744794325709346
12,75,5,95,12,0.049399865240883564
13,75,5,95,13,0.06192254206763335
14,75,5,95,14,0.06331248284138216
15,75,5,95,15,0.11602716524567872
16,75,5,95,16,0.14990218327277238
17,75,5,95,17,0.2995072036981583
18,75,5,95,18,0.29154353216290485
19,75,5,95,19,0.3064235515892507
